id,label,date,number
howls-moving-castle,numViews,2024-09-26,1943532
howls-moving-castle,avgRating,2024-09-26,4.33
howls-moving-castle,numReviews,2024-09-26,182623
howls-moving-castle,numRatings,2024-09-26,1305076
howls-moving-castle,numLikes,2024-09-26,865934
howls-moving-castle,numFans,2024-09-26,81762
us-2019,numViews,2024-09-26,2058750
us-2019,avgRating,2024-09-26,3.66
us-2019,numReviews,2024-09-26,157329
us-2019,numRatings,2024-09-26,1419900
us-2019,numLikes,2024-09-26,656665
us-2019,numFans,2024-09-26,10520
little-miss-sunshine,numViews,2024-09-26,1771764
little-miss-sunshine,avgRating,2024-09-26,4.18
little-miss-sunshine,numReviews,2024-09-26,196515
little-miss-sunshine,numRatings,2024-09-26,1152531
little-miss-sunshine,numLikes,2024-09-26,690554
little-miss-sunshine,numFans,2024-09-26,56731
x-2022,numViews,2024-09-26,1424402
x-2022,avgRating,2024-09-26,3.41
x-2022,numReviews,2024-09-26,321828
x-2022,numRatings,2024-09-26,1152419
x-2022,numLikes,2024-09-26,430173
x-2022,numFans,2024-09-26,6702
avatar-the-way-of-water,numViews,2024-09-26,1847726
avatar-the-way-of-water,avgRating,2024-09-26,3.61
avatar-the-way-of-water,numReviews,2024-09-26,300334
avatar-the-way-of-water,numRatings,2024-09-26,1374983
avatar-the-way-of-water,numLikes,2024-09-26,533284
avatar-the-way-of-water,numFans,2024-09-26,7170
guardians-of-the-galaxy-vol-3,numViews,2024-09-26,1684234
guardians-of-the-galaxy-vol-3,avgRating,2024-09-26,3.96
guardians-of-the-galaxy-vol-3,numReviews,2024-09-26,324396
guardians-of-the-galaxy-vol-3,numRatings,2024-09-26,1289153
guardians-of-the-galaxy-vol-3,numLikes,2024-09-26,619616
guardians-of-the-galaxy-vol-3,numFans,2024-09-26,6510
spider-man-homecoming,numViews,2024-09-26,2798691
spider-man-homecoming,avgRating,2024-09-26,3.47
spider-man-homecoming,numReviews,2024-09-26,98637
spider-man-homecoming,numRatings,2024-09-26,1635402
spider-man-homecoming,numLikes,2024-09-26,769393
spider-man-homecoming,numFans,2024-09-26,2661
soul-2020,numViews,2024-09-26,2161016
soul-2020,avgRating,2024-09-26,3.93
soul-2020,numReviews,2024-09-26,160895
soul-2020,numRatings,2024-09-26,1440551
soul-2020,numLikes,2024-09-26,721810
soul-2020,numFans,2024-09-26,9633
harry-potter-and-the-prisoner-of-azkaban,numViews,2024-09-26,2860027
harry-potter-and-the-prisoner-of-azkaban,avgRating,2024-09-26,4.1
harry-potter-and-the-prisoner-of-azkaban,numReviews,2024-09-26,138545
harry-potter-and-the-prisoner-of-azkaban,numRatings,2024-09-26,1511072
harry-potter-and-the-prisoner-of-azkaban,numLikes,2024-09-26,875029
harry-potter-and-the-prisoner-of-azkaban,numFans,2024-09-26,31006
goodfellas,numViews,2024-09-26,1721188
goodfellas,avgRating,2024-09-26,4.47
goodfellas,numReviews,2024-09-26,135451
